Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1962,Literature,for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception,,,1902,1968,John Steinbeck,USA,Salinas CA,USA,New York NY,,M,66
1982,Literature,for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts,,,1927,2014,Gabriel Garc°a M†rquez,Colombia,Aracataca,Mexico,Mexico City,,M,87
1971,Economics,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,Harvard University,Cambridge MA,1901,1985,Simon Kuznets,Belarus,Pinsk,USA,Cambridge MA,USA,M,84
1980,Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Jackson Laboratory,Bar Harbor ME,1903,1996,George D. Snell,USA,Bradford MA,USA,Bar Harbor ME,USA,M,93
1998,Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,SUNY Health Science Center,Brooklyn NY,1916,2009,Robert F. Furchgott,USA,Charleston SC,USA,Seattle WA,USA,M,93
2003,Medicine,for their discoveries concerning magnetic resonance imaging,University of Illinois,Urbana IL,1929,2007,Paul C. Lauterbur,USA,Sidney OH,USA,Urbana IL,USA,M,78
1986,Economics,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,Center for Study of Public Choice,Fairfax VA,1919,2013,James M. Buchanan Jr.,USA,Murfreesboro TN,USA,Blacksburg VA,USA,M,94
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,University of California,Santa Barbara CA,1928,,Herbert Kroemer,Germany,Weimar,,,USA,M,
2001,Medicine,for their discoveries of key regulators of the cell cycle,Imperial Cancer Research Fund,London,1943,,Tim Hunt,United Kingdom,Neston,,,United Kingdom,M,
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Digital Pathways Inc.,Mountain View CA,1932,2006,Melvin Schwartz,USA,New York NY,USA,Twin Falls ID,USA,M,74
1990,Physics,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics,Massachusetts Institute of Technology (MIT),Cambridge MA,1930,,Jerome I. Friedman,USA,Chicago IL,,,USA,M,
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Columbia University,New York NY,1949,,Horst L. Stîrmer,Germany,Frankfurt-on-the-Main,,,USA,M,
1922,Chemistry,for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule,University of Cambridge,Cambridge,1877,1945,Francis W. Aston,United Kingdom,Harborne,United Kingdom,Cambridge,United Kingdom,M,68
1921,Physics,for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fÅr Physik,Berlin,1879,1955,Albert Einstein,Germany,Ulm,USA,Princeton NJ,Germany,M,76
1929,Physics,for his discovery of the wave nature of electrons,Sorbonne University Institut Henri PoincarÇ,Paris,1892,1987,Louis de Broglie,France,Dieppe,France,Paris,France,M,95
1936,Physics,for his discovery of the positron,California Institute of Technology (Caltech),Pasadena CA,1905,1991,Carl D. Anderson,USA,New York NY,USA,San Marino CA,USA,M,86
1955,Physics,for his precision determination of the magnetic moment of the electron,Columbia University,New York NY,1911,1993,Polykarp Kusch,Germany,Blankenburg,USA,Dallas TX,USA,M,82
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,,,1972,,Leymah Gbowee,Liberia,Monrovia,,,,F,
2013,Chemistry,for the development of multiscale models for complex chemical systems,UniversitÇ de Strasbourg,Strasbourg,1930,,Martin Karplus,Austria,Vienna,,,France,M,
1957,Chemistry,for his work on nucleotides and nucleotide co-enzymes,University of Cambridge,Cambridge,1907,1997,Lord Todd,Scotland,Glasgow,United Kingdom,Cambridge,United Kingdom,M,90
1975,Chemistry,for his work on the stereochemistry of enzyme-catalyzed reactions,University of Sussex,Brighton,1917,2013,John Cornforth,Australia,Sydney,,,United Kingdom,M,96
1979,Chemistry,for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis,Purdue University,West Lafayette IN,1912,2004,Herbert C. Brown,United Kingdom,London,USA,Lafayette IN,USA,M,92
1980,Chemistry,for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA,Stanford University,Stanford CA,1926,2023,Paul Berg,USA,New York NY,USA,Stanford CA,USA,M,97
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,University of Texas Southwestern Medical Center at Dallas,Dallas TX,1943,,Johann Deisenhofer,Germany,Zusamaltheim,,,USA,M,
1927,Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,Vienna University,Vienna,1857,1940,Julius Wagner-Jauregg,Austria,Wels,Austria,Vienna,Austria,M,83
1930,Medicine,for his discovery of human blood groups,Rockefeller Institute for Medical Research,New York NY,1868,1943,Karl Landsteiner,Austria,Vienna,USA,New York NY,USA,M,75
1939,Medicine,for the discovery of the antibacterial effects of prontosil,Munster University,Munster,1895,1964,Gerhard Domagk,Poland,Lagow,Germany,Burgberg,Germany,M,69
1965,Medicine,for their discoveries concerning genetic control of enzyme and virus synthesis,Institut Pasteur,Paris,1902,1994,AndrÇ Lwoff,France,Ainay-le-ChÉteau,France,Paris,France,M,92
1967,Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,Harvard University,Cambridge MA,1906,1997,George Wald,USA,New York NY,USA,Cambridge MA,USA,M,91
1976,Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,National Institutes of Health,Bethesda MD,1923,2008,D. Carleton Gajdusek,USA,Yonkers NY,Norway,Tromsõ,USA,M,85
1982,Medicine,for their discoveries concerning prostaglandins and related biologically active substances,Karolinska Institutet,Stockholm,1916,2004,Sune K. Bergstrîm,Sweden,Stockholm,Sweden,Stockholm,Sweden,M,88
2016,Economics,for their contributions to contract theory,Massachusetts Institute of Technology (MIT),Cambridge MA,1949,,Bengt Holmstrîm,Finland,Helsinki,,,USA,M,
1906,Peace,for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia,,,1858,1919,Theodore Roosevelt,USA,New York NY,USA,Oyster Bay NY,,M,61
1936,Peace,for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935,,,1878,1959,Carlos Saavedra Lamas,Argentina,Buenos Aires,Argentina,Buenos Aires,,M,81
1946,Peace,for her lifelong work for the cause of peace,,,1867,1961,Emily Greene Balch,USA,Boston MA,USA,Cambridge MA,,F,94
1954,Peace,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,,,1950,,Office of the United Nations High Commissioner for Refugees,,,,,,,
1958,Peace,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,,,1910,1969,Georges Pire,Belgium,Dinant,Belgium,Leuven,,M,59
1997,Peace,for their work for the banning and clearing of anti-personnel mines,,,1950,,Jody Williams,USA,Putney VT,,,,F,
1928,Literature,principally for her powerful descriptions of Northern life during the Middle Ages,,,1882,1949,Sigrid Undset,Denmark,Kalundborg,Norway,Lillehammer,,F,67
1949,Literature,for his powerful and artistically unique contribution to the modern American novel,,,1897,1962,William Faulkner,USA,New Albany MS,USA,Byhalia MS,,M,65
1979,Economics,for their pioneering research into economic development research with particular consideration of the problems of developing countries,University of Chicago,Chicago IL,1902,1998,Theodore W. Schultz,USA,Arlington SD,USA,Evanston IL,USA,M,96
1990,Economics,for their pioneering work in the theory of financial economics,University of Chicago,Chicago IL,1923,2000,Merton H. Miller,USA,Boston MA,USA,Chicago IL,USA,M,77
1997,Economics,for a new method to determine the value of derivatives,Harvard University,Cambridge MA,1944,,Robert C. Merton,USA,New York NY,,,USA,M,
1907,Peace,for his work in the press and in peace meetings both public and private for an understanding between France and Italy,,,1833,1918,Ernesto Teodoro Moneta,Italy,Milan,Italy,Milan,,M,85
1938,Peace,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,,,,,Nansen International Office for Refugees,,,,,,,
1991,Peace,for her non-violent struggle for democracy and human rights,,,1945,,Aung San Suu Kyi,Myanmar,Yangon,,,,F,
1904,Literature,in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist,,,1830,1914,FrÇdÇric Mistral,France,Maillane,France,Maillane,,M,84
1911,Literature,in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations,,,1862,1949,Maurice Maeterlinck,Belgium,Ghent,France,Nice,,M,87
1915,Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,,,1866,1944,Romain Rolland,France,Clamecy,France,VÇzelay,,M,78
1938,Literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,,,1892,1973,Pearl Buck,USA,Hillsboro WV,USA,Danby VT,,F,81
1947,Literature,for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight,,,1869,1951,AndrÇ Gide,France,Paris,France,Paris,,M,82
1987,Literature,for an all-embracing authorship imbued with clarity of thought and poetic intensity,,,1940,1996,Joseph Brodsky,Russia,St. Petersburg,USA,New York NY,,M,56
1974,Economics,for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena,,,1898,1987,Gunnar Myrdal,Sweden,Skattungbyn,Sweden,Stockholm,,M,89
2000,Physics,for his part in the invention of the integrated circuit,Texas Instruments,Dallas TX,1923,2005,Jack Kilby,USA,Jefferson City MO,USA,Dallas TX,USA,M,82
2003,Literature,who in innumerable guises portrays the surprising involvement of the outsider,,,1940,,J. M. Coetzee,South Africa,Cape Town,,,,M,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,University of California Kavli Institute for Theoretical Physics,Santa Barbara CA,1941,,David J. Gross,USA,Washington D.C.,,,USA,M,
2004,Literature,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,,,1946,,Elfriede Jelinek,Austria,MÅrzzuschlag,,,,F,
2022,Economics,for research on banks and financial crises,The Brookings Institution,Washington D.C.,1953,,Ben Bernanke,USA,Augusta GA,,,USA,M,
1961,Chemistry,for his research on the carbon dioxide assimilation in plants,University of California,Berkeley CA,1911,1997,Melvin Calvin,USA,St. Paul MN,USA,Berkeley CA,USA,M,86
1996,Chemistry,for their discovery of fullerenes,University of Sussex,Brighton,1939,2016,Sir Harold Kroto,United Kingdom,Wisbech Cambridgeshire,United Kingdom,Lewes East Sussex,United Kingdom,M,77
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Rockefeller University,New York NY,1911,1980,William H. Stein,USA,New York NY,USA,New York NY,USA,M,69
1989,Chemistry,for their discovery of catalytic properties of RNA,University of Colorado,Boulder CO,1947,,Thomas R. Cech,USA,Chicago IL,,,USA,M,
1926,Medicine,for his discovery of the Spiroptera carcinoma,Copenhagen University,Copenhagen,1867,1928,Johannes Fibiger,Denmark,Silkeborg,Denmark,Copenhagen,Denmark,M,61
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory,RÅschlikon,1927,2023,K. Alex MÅller,Switzerland,Basel,Switzerland,Zurich,Switzerland,M,96
1993,Physics,for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation,Princeton University,Princeton NJ,1950,,Russell A. Hulse,USA,New York NY,,,USA,M,
1909,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,Leipzig University,Leipzig,1853,1932,Wilhelm Ostwald,Latvia,Riga,Germany,Leipzig,Germany,M,79
2016,Chemistry,for the design and synthesis of molecular machines,Northwestern University,Evanston IL,1942,,Sir J. Fraser Stoddart,United Kingdom,Edinburgh,,,USA,M,
2021,Physics,for the physical modelling of Earth's climate quantifying variability and reliably predicting global warming,Max Planck Institute for Meteorology,Hamburg,1931,,Klaus Hasselmann,Germany,Hamburg,,,Germany,M,
2009,Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,Standard Telecommunication Laboratories,Harlow,1933,2018,Charles K. Kao,China,Shanghai,,Hong Kong,United Kingdom,M,85
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,National Institute of Standards and Technology,Boulder CO,1944,,David J. Wineland,USA,Milwaukee WI,,,USA,M,
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,,,1997,,Malala Yousafzai,Pakistan,Mingora,,,,F,
2009,Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Johns Hopkins University School of Medicine,Baltimore MD,1961,,Carol W. Greider,USA,San Diego CA,,,USA,F,
2008,Literature,author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization,,,1940,,Jean-Marie Gustave Le ClÇzio,France,Nice,,,,M,
2009,Chemistry,for studies of the structure and function of the ribosome,Weizmann Institute of Science,Rehovot,1939,,Ada E. Yonath,Israel,Jerusalem,,,Israel,F,
2010,Literature,for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat,,,1936,,Mario Vargas Llosa,Peru,Arequipa,,,,M,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Nagoya University,Nagoya,1960,,Hiroshi Amano,Japan,Hamamatsu,,,Japan,M,
2014,Literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",,,1945,,Patrick Modiano,France,Paris,,,,M,
2015,Medicine,for her discoveries concerning a novel therapy against Malaria,China Academy of Traditional Chinese Medicine,Beijing,1930,,Youyou Tu,China,Zhejiang Ningbo,,,China,F,
2018,Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Parker Institute for Cancer Immunotherapy,San Francisco CA,1948,,James P. Allison,USA,Alice TX,,,USA,M,
2018,Chemistry,for the directed evolution of enzymes,California Institute of Technology (Caltech),Pasadena CA,1956,,Frances H. Arnold,USA,Pittsburgh PA,,,USA,F,
2018,Chemistry,for the phage display of peptides and antibodies,MRC Laboratory of Molecular Biology,Cambridge,1951,,Sir Gregory P. Winter,United Kingdom,Leicester,,,United Kingdom,M,
1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,êcole Polytechnique,Paris,1852,1908,Henri Becquerel,France,Paris,France,,France,M,56
1911,Physics,for his discoveries regarding the laws governing the radiation of heat,WÅrzburg University,WÅrzburg,1864,1928,Wilhelm Wien,Russia,Parusnoye,Germany,Munich,Germany,M,64
1954,Physics,for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction,Edinburgh University,Edinburgh,1882,1970,Max Born,Poland,Wroclaw,Germany,Gîttingen,United Kingdom,M,88
1963,Physics,for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles,Princeton University,Princeton NJ,1902,1995,Eugene Wigner,Hungary,Budapest,USA,Princeton NJ,USA,M,93
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,University of Cambridge,Cambridge,1905,1996,Sir Nevill F. Mott,United Kingdom,Leeds,United Kingdom,Milton Keynes,United Kingdom,M,91
1991,Physics,for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers,Colläge de France,Paris,1932,2007,Pierre-Gilles de Gennes,France,Paris,France,Orsay,France,M,75
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form,Rockefeller Institute for Medical Research,Princeton NJ,1904,1971,Wendell M. Stanley,USA,Ridgeville IN,Spain,Salamanca,USA,M,67
1952,Chemistry,for their invention of partition chromatography,National Institute for Medical Research,London,1910,2002,Archer J.P. Martin,United Kingdom,London,United Kingdom,Llangarron,United Kingdom,M,92
1995,Chemistry,for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone,Massachusetts Institute of Technology (MIT),Cambridge MA,1943,2020,Mario J. Molina,Mexico,Mexico City,Mexico,Mexico City,USA,M,77
1932,Medicine,for their discoveries regarding the functions of neurons,University of Cambridge,Cambridge,1889,1977,Edgar Adrian,United Kingdom,London,United Kingdom,Cambridge,United Kingdom,M,88
1911,Peace,for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations,,,1864,1921,Alfred Fried,Austria,Vienna,Austria,Vienna,,M,57
1922,Peace,for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees,,,1861,1930,Fridtjof Nansen,Norway,Oslo,Norway,Oslo,,M,69
1960,Peace,for his non-violent struggle against apartheid,,,,1967,Albert Lutuli,Zimbabwe,Bulawayo,South Africa,Stanger,,M,
1987,Peace,for his work for lasting peace in Central America,,,1940,,Oscar Arias S†nchez,Costa Rica,Heredia,,,,M,
1910,Literature,as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories,,,1830,1914,Paul Heyse,Germany,Berlin,Germany,Munich,,M,84
1913,Literature,because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West,,,1861,1941,Rabindranath Tagore,India,Calcutta,India,Calcutta,,M,80
1917,Literature,for his authentic descriptions of present-day life in Denmark,,,1857,1943,Henrik Pontoppidan,Denmark,Fredericia,Denmark,Ordrup,,M,86
1920,Literature,for his monumental work <I>Growth of the Soil</I>,,,1859,1952,Knut Hamsun,Norway,Lom,Norway,Grimstad,,M,93
1981,Literature,for writings marked by a broad outlook a wealth of ideas and artistic power,,,1905,1994,Elias Canetti,Bulgaria,Ruse,Switzerland,Zurich,,M,89
1988,Literature,who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind,,,1911,2006,Naguib Mahfouz,Egypt,Cairo,Egypt,Cairo,,M,95
1976,Economics,for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy,University of Chicago,Chicago IL,1912,2006,Milton Friedman,USA,Brooklyn NY,USA,San Francisco CA,USA,M,94
1984,Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,MRC Laboratory of Molecular Biology,Cambridge,1927,2002,CÇsar Milstein,Argentina,Bahia Blanca,United Kingdom,Cambridge,United Kingdom,M,75
2001,Chemistry,for his work on chirally catalysed oxidation reactions,The Scripps Research Institute,La Jolla CA,1941,,Barry Sharpless,USA,Philadelphia PA,,,USA,M,
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,P.N. Lebedev Physical Institute,Moscow,1916,2009,Vitaly L. Ginzburg,Russia,Moscow,,,Russia,M,93
2006,Peace,for their efforts to create economic and social development from below,,,,,Grameen Bank,,,,,,,
1943,Medicine,for his discovery of vitamin K,Polytechnic Institute,Copenhagen,1895,1976,Henrik Dam,Denmark,Copenhagen,Denmark,Copenhagen,Denmark,M,81
1947,Medicine,for their discovery of the course of the catalytic conversion of glycogen,Washington University,St. Louis MO,1896,1957,Gerty Cori,Czech Republic,Prague,USA,St. Louis MO,USA,F,61
1957,Medicine,for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles,Istituto Superiore di SanitÖ (Chief Institute of Public Health),Rome,1907,1992,Daniel Bovet,Switzerland,NeuchÉtel,Italy,Rome,Italy,M,85
1985,Medicine,for their discoveries concerning the regulation of cholesterol metabolism,University of Texas Southwestern Medical Center at Dallas,Dallas TX,1940,,Joseph L. Goldstein,USA,Sumter SC,,,USA,M,
1933,Physics,for the discovery of new productive forms of atomic theory,University of Cambridge,Cambridge,1902,1984,Paul A.M. Dirac,United Kingdom,Bristol,USA,Tallahassee FL,United Kingdom,M,82
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,1910,1989,William B. Shockley,United Kingdom,London,USA,Palo Alto CA,USA,M,79
1973,Physics,for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects,University of Cambridge,Cambridge,1940,,Brian D. Josephson,United Kingdom,Cardiff,,,United Kingdom,M,
2002,Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',The Wellcome Trust Sanger Institute,Cambridge,1942,2018,John E. Sulston,United Kingdom,Cambridge,United Kingdom,Stapleford Cambridgeshire,United Kingdom,M,76
2004,Medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Fred Hutchinson Cancer Research Center,Seattle WA,1947,,Linda B. Buck,USA,Seattle WA,,,USA,F,
1912,Peace,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,,,1845,1937,Elihu Root,USA,Clinton NY,USA,New York NY,,M,92
1949,Peace,for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war,,,1880,1971,John Boyd Orr,Scotland,Kilmaurs,Scotland,Edzell,,M,91
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,,,1918,1981,Anwar al-Sadat,Egypt,Mit Abu al-Kawm,Egypt,Cairo,,M,63
1980,Peace,for being a source of inspiration to repressed people especially in Latin America,,,1931,,Adolfo PÇrez Esquivel,Argentina,Buenos Aires,,,,M,
1988,Peace,for preventing armed clashes and creating conditions for negotiations,,,,,United Nations Peacekeeping Forces,,,,,,,
1934,Literature,for his bold and ingenious revival of dramatic and scenic art,,,1867,1936,Luigi Pirandello,Italy,Agrigento Sicily,Italy,Rome,,M,69
1937,Literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,,,1881,1958,Roger Martin du Gard,France,Neuilly-sur-Seine,France,Bellàme,,M,77
1951,Literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,,,1891,1974,PÑr Lagerkvist,Sweden,VÑxjî,Sweden,Stockholm,,M,83
1965,Literature,for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people,,,1905,1984,Mikhail Sholokhov,Russia,Veshenskaya,Russia,Veshenskaya,,M,79
1936,Literature,for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy,,,1888,1953,Eugene O'Neill,USA,New York NY,USA,Boston MA,,M,65
1979,Literature,for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness,,,1911,1996,Odysseus Elytis,Greece,Ir†klion,Greece,Athens,,M,85
1993,Economics,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,Washington University,St. Louis MO,1920,2015,Douglass C. North,USA,Cambridge MA,USA,Benzonia MI,USA,M,95
2016,Chemistry,for the design and synthesis of molecular machines,University of Strasbourg,Strasbourg,1944,,Jean-Pierre Sauvage,France,Paris,,,France,M,
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,LIGO/VIRGO Collaboration,,1932,,Rainer Weiss,Germany,Berlin,,,,M,
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,University of Copenhagen,Copenhagen,,,Morten Meldal,Denmark,Copenhagen,,,Denmark,M,
1952,Chemistry,for their invention of partition chromatography,Rowett Research Institute,Bucksburn (Scotland),1914,1994,Richard L.M. Synge,United Kingdom,Liverpool,United Kingdom,Norwich,United Kingdom,M,80
1975,Chemistry,for his research into the stereochemistry of organic molecules and reactions,Eidgenîssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,1906,1998,Vladimir Prelog,Bosnia and Herzegovina,Sarajevo,Switzerland,Zurich,Switzerland,M,92
1978,Chemistry,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,Glynn Research Laboratories,Bodmin,1920,1992,Peter Mitchell,United Kingdom,Mitcham,United Kingdom,Bodmin,United Kingdom,M,72
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,US Naval Research Laboratory,Washington D.C.,1918,2013,Jerome Karle,USA,New York NY,USA,Annandale VA,USA,M,95
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes,University of Toronto,Toronto,1929,,John C. Polanyi,Germany,Berlin,,,Canada,M,
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Max-Planck-Institut fÅr Biochemie,Martinsried,1937,,Robert Huber,Germany,Munich,,,Germany,M,
1992,Chemistry,for his contributions to the theory of electron transfer reactions in chemical systems,California Institute of Technology (Caltech),Pasadena CA,1923,,Rudolph A. Marcus,Canada,Montreal,,,USA,M,
1979,Physics,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,Harvard University Lyman Laboratory,Cambridge MA,1932,,Sheldon Glashow,USA,New York NY,,,USA,M,
1983,Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,University of Chicago,Chicago IL,1910,1995,Subramanyan Chandrasekhar,Pakistan,Lahore,USA,Chicago IL,USA,M,85
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,,,1937,2020,John Hume,Northern Ireland,Londonderry,Northern Ireland,Londonderry,,M,83
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,CERN,Geneva,1921,2020,Jack Steinberger,Germany,Bad Kissingen,Switzerland,Geneva,Switzerland,M,99
1997,Physics,for development of methods to cool and trap atoms with laser light,Stanford University,Stanford CA,1948,,Steven Chu,USA,St. Louis MO,,,USA,M,
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,Utrecht University,Utrecht,1946,,Gerardus 't Hooft,Netherlands,Den Helder,,,Netherlands,M,
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,,,1931,2021,Martinus J.G. Veltman,Netherlands,Waalwijk,Netherlands,Bilthoven,,M,90
1904,Chemistry,in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system,University College,London,1852,1916,Sir William Ramsay,Scotland,Glasgow,United Kingdom,High Wycombe,United Kingdom,M,64
1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,Berlin University,Berlin,1884,1966,Peter Debye,Netherlands,Maastricht,USA,Ithaca NY,Germany,M,82
1950,Chemistry,for their discovery and development of the diene synthesis,Cologne University,Cologne,1902,1958,Kurt Alder,Poland,Chorz¢w,Germany,Cologne,Germany,M,56
1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them,Copenhagen University,Copenhagen,1885,1962,Niels Bohr,Denmark,Copenhagen,Denmark,Copenhagen,Denmark,M,77
1933,Physics,for the discovery of new productive forms of atomic theory,Berlin University,Berlin,1887,1961,Erwin Schrîdinger,Austria,Vienna,Austria,Vienna,Germany,M,74
1961,Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,Stanford University,Stanford CA,1915,1990,Robert Hofstadter,USA,New York NY,USA,Stanford CA,USA,M,75
1963,Physics,for their discoveries concerning nuclear shell structure,University of California,San Diego CA,1906,1972,Maria Goeppert Mayer,Poland,Katowice,USA,San Diego CA,USA,F,66
1964,Physics,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle,P.N. Lebedev Physical Institute,Moscow,1922,2001,Nicolay G. Basov,Russia,Usman,Russia,Moscow,Russia,M,79
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Columbia University,New York NY,1917,1986,James Rainwater,USA,Council ID,USA,Yonkers NY,USA,M,69
